company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
/organization/aaren-scientific,Aaren Scientific,|Manufacturing|,Manufacturing,USA,CA,Ontario - Inland Empire,Ontario,/organization/carl-zeiss,Carl Zeiss,|Hardware + Software|,Hardware + Software,DEU,,DEU - Other,Oberkochen,1/7/2014 0:00,2014-01,2014-Q1,2014,70000000,USD
/organization/abaxia,Abaxia,|Software|,Software,FRA,,Neuilly-sur-seine,Neuilly-sur-seine,/organization/htc,HTC Corp,|Hardware + Software|,Hardware + Software,TWN,,TWN - Other,Taoyüan,6/7/2010 0:00,2010-06,2010-Q2,2010,13000000,USD
/organization/abc-sports-management,ABC Sports Management,|Sports|,Sports,GBR,,GBR - Other,Wandsworth,/organization/chime-communications-plc,Chime Communications PLC,,,GBR,,London,London,9/24/2014 0:00,2014-09,2014-Q3,2014,810000,GBP
/organization/abfrontier,Abfrontier,|Biotechnology|,Biotechnology,KOR,,Seoul,Seoul,/organization/young-in-frontier,Young in Frontier,|Biotechnology|,Biotechnology,,,,,2/12/2008 0:00,2008-02,2008-Q1,2008,23650000,USD
/organization/about-com,About.com,|Curated Web|,Curated Web,,,,,/organization/iac,IAC,|News|,News,USA,NY,New York City,New York,8/27/2012 0:00,2012-08,2012-Q3,2012,300000000,USD
/organization/abovenet,AboveNet,|Information Technology|Internet|Service Providers|Services|Web Hosting|,Internet,USA,NY,New York City,White Plains,/organization/zayo-group,Zayo,|Telecommunications|Mobile Infrastructure|Internet|Data Centers|Mobile|,Internet,,,,,3/19/2012 0:00,2012-03,2012-Q1,2012,2300000000,USD
/organization/abraxis-bioscience,Abraxis BioScience,|Pharmaceuticals|Biotechnology|,Biotechnology,USA,CA,Los Angeles,Los Angeles,/organization/celgene,Celgene,|Medical|Biotechnology|,Biotechnology,USA,NJ,Newark,Summit,6/30/2010 0:00,2010-06,2010-Q2,2010,2900000000,USD
/organization/absolute-intuistic,Absolute Intuistic,|Software|,Software,GBR,,London,Richmond,/organization/communisis,Communisis,|Public Relations|,Public Relations,GBR,,Leeds,Leeds,12/22/2008 0:00,2008-12,2008-Q4,2008,19430000,USD
/organization/acambis,Acambis,|Biotechnology|,Biotechnology,GBR,,London,Cambridge,/organization/sanofi-pasteur,Sanofi Pasteur,|Biotechnology|,Biotechnology,FRA,,Lyon,Lyon,7/25/2008 0:00,2008-07,2008-Q3,2008,564960000,USD
/organization/accela-communications,Accela Communications,|Public Relations|,Public Relations,USA,MA,Boston,Southborough,/organization/kit-digital,KIT digital,|Games|,Games,CZE,,Prague,Prague,9/9/2010 0:00,2010-09,2010-Q3,2010,4700000,USD
/organization/accelerated-production-systems,Accelerated Production Systems,|Investment Management|Oil and Gas|Clean Technology|,Investment Management,USA,TX,Houston,The Woodlands,/organization/dover,Dover,|Enterprise Software|,Enterprise Software,USA,IL,Chicago,Downers Grove,10/2/2014 0:00,2014-10,2014-Q4,2014,430000000,USD
/organization/fasterweb,AcceloWeb,|Curated Web|,Curated Web,,,,,/organization/limelightnetworks,Limelight Networks,|Business Services|Cloud Computing|SaaS|Content|Content Delivery|Web Hosting|,Business Services,USA,AZ,Phoenix,Tempe,5/9/2011 0:00,2011-05,2011-Q2,2011,20000000,USD
/organization/accelrys,Accelrys,|Software|,Software,USA,CA,San Diego,San Diego,/organization/dassault,Dassault Systemes,|Software|,Software,FRA,,Franche-Comte,,1/30/2014 0:00,2014-01,2014-Q1,2014,750000000,USD
/organization/acceptys,Acceptys,|Biotechnology|,Biotechnology,USA,NJ,Newark,Sparta,/organization/patrys,Patrys,|Biotechnology|,Biotechnology,AUS,,Melbourne,Melbourne,10/27/2008 0:00,2008-10,2008-Q4,2008,2820000,USD
/organization/accertify,Accertify,|Fraud Detection|Credit Cards|Security|,Security,USA,IL,Chicago,Itasca,/organization/americanexpress,American Express,|Finance|,Finance,USA,NY,New York City,New York,11/1/2010 0:00,2010-11,2010-Q4,2010,150000000,USD
/organization/access-closure,Access Closure,|Health Care|,Health Care,USA,CA,SF Bay Area,Mountain View,/organization/cardinal-health,Cardinal Health,|Health and Wellness|Hospitals|Health Care|,Hospitals,USA,OH,"Columbus, Ohio",Dublin,4/2/2014 0:00,2014-04,2014-Q2,2014,320000000,USD
/organization/access-communications,Access Communications,|Technology|Services|Social Media|Public Relations|,Social Media,USA,CA,SF Bay Area,San Francisco,/organization/zayo-group,Zayo,|Telecommunications|Mobile Infrastructure|Internet|Data Centers|Mobile|,Internet,,,,,8/19/2013 0:00,2013-08,2013-Q3,2013,40000000,USD
/organization/access-data,Access Data,|Web Hosting|,Web Hosting,,,,,/organization/broadridge,Broadridge,|Finance|Outsourcing|Enterprise Software|,Enterprise Software,USA,NY,New York City,New York,5/21/2009 0:00,2009-05,2009-Q2,2009,45000000,USD
/organization/access-midstream-partners-lp-investments,Access Midstream Partners LP Investments,|Natural Gas Uses|,Natural Gas Uses,USA,OK,Oklahoma City,Oklahoma City,/organization/the-williams-companies,The Williams Companies,|Gas|Enterprise Software|,Gas,USA,OK,OK - Other,Snyder,12/21/2012 0:00,2012-12,2012-Q4,2012,2250000000,USD
/organization/accessflow,AccessFlow,|Consulting|,Consulting,USA,CA,Sacramento,Sacramento,/organization/inx,INX,|Web Hosting|,Web Hosting,USA,TX,Houston,Houston,6/9/2008 0:00,2008-06,2008-Q2,2008,7350000,USD
/organization/accesswire,Accesswire,|Publishing|SEO|Social Media Monitoring|Curated Web|,SEO,USA,NC,Raleigh,Morrisville,/organization/issuer-direct,Issuer Direct,|Financial Services|,Financial Services,USA,NC,Raleigh,Morrisville,10/8/2014 0:00,2014-10,2014-Q4,2014,1840000,USD
/organization/acclarent,Acclarent,|Medical|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Menlo Park,/organization/johnson-johnson,Johnson & Johnson,|Medical Devices|Pharmaceuticals|Health Care|Consumer Goods|Health and Wellness|,Medical Devices,USA,NJ,Newark,New Brunswick,12/17/2009 0:00,2009-12,2009-Q4,2009,785000000,USD
/organization/accuvant,Accuvant,|Security|,Security,USA,CO,Denver,Denver,/organization/blackstone-group,Blackstone Group,|Investment Management|Finance|,Investment Management,USA,NY,New York City,New York,3/12/2014 0:00,2014-03,2014-Q1,2014,225000000,USD
/organization/acerno,acerno,|Curated Web|,Curated Web,USA,NY,New York City,New York,/organization/akamai-technologies,Akamai Technologies,|SaaS|IaaS|Digital Media|Video Streaming|Data Security|Content Delivery|Cloud Computing|Business Services|Enterprise Software|,Business Services,USA,MA,Boston,Cambridge,10/21/2008 0:00,2008-10,2008-Q4,2008,95000000,USD
/organization/aciex-therapeutics,Aciex Therapeutics,|Biotechnology|,Biotechnology,USA,MA,Worcester,Westborough,/organization/nicox,NicOx,|Biotechnology|,Biotechnology,FRA,,Nice,Valbonne,7/2/2014 0:00,2014-07,2014-Q3,2014,120000000,USD
/organization/acompli-inc,Acompli,|Consumer Internet|Mobile Security|Android|iOS|SaaS|Mobile|Email|Enterprise Software|,Android,USA,CA,SF Bay Area,San Francisco,/organization/microsoft,Microsoft,|Video Games|Software|,Video Games,USA,WA,Seattle,Redmond,12/1/2014 0:00,2014-12,2014-Q4,2014,200000000,USD
/organization/acquity-group,Acquity Group,|Design|User Experience Design|Technology|Web Presence Management|E-Commerce|,Design,USA,IL,Chicago,Chicago,/organization/accenture,Accenture,|Business Services|Outsourcing|Consulting|,Business Services,USA,CA,San Diego,San Diego,5/19/2013 0:00,2013-05,2013-Q2,2013,316000000,USD
/organization/actimis-pharmaceuticals,Actimis Pharmaceuticals,|Biotechnology|,Biotechnology,USA,CA,San Diego,San Diego,/organization/boehringer-ingelheim,Boehringer Ingelheim,|Biotechnology|,Biotechnology,DEU,,DEU - Other,Ingelheim Am Rhein,6/17/2008 0:00,2008-06,2008-Q2,2008,515000000,USD
/organization/activaero,Activaero,|Biotechnology|,Biotechnology,DEU,,DEU - Other,Gemünden,/organization/vectura,Vectura,|Curated Web|,Curated Web,GBR,,London,Chippenham,3/13/2014 0:00,2014-03,2014-Q1,2014,130000000,EUR
/organization/active-aero-group-inc,Active Aero Group,|Logistics Company|,Logistics Company,USA,MI,Detroit,Belleville,/organization/roadrunner-transportation-systems,Roadrunner Transportation Systems,|Public Transportation|,Public Transportation,USA,WI,Milwaukee,Cudahy,8/12/2014 0:00,2014-08,2014-Q3,2014,115000000,USD
/organization/activiomics,Activiomics,|Biotechnology|,Biotechnology,GBR,,London,London,/organization/retroscreen-virology,RetroScreen Virology,|Biotechnology|,Biotechnology,GBR,,London,London,3/4/2014 0:00,2014-03,2014-Q1,2014,4000000,GBP
/organization/actix,Actix,|Mobile|,Mobile,GBR,,London,London,/organization/amdocs,Amdocs,|Curated Web|,Curated Web,USA,MO,St. Louis,Chesterfield,9/3/2013 0:00,2013-09,2013-Q3,2013,120000000,USD
/organization/acton-pharmaceuticals,Acton Pharmaceuticals,|Biotechnology|,Biotechnology,USA,MA,Boston,Marlborough,/organization/meda,Meda,|Biotechnology|,Biotechnology,SWE,,Stockholm,Solna,8/30/2013 0:00,2013-08,2013-Q3,2013,135000000,USD
/organization/acttab,ACTTAB,|Gambling|,Gambling,AUS,,AUS - Other,,/organization/tabcorp-holdings-limited,Tabcorp Holdings Limited,,,AUS,,Melbourne,Melbourne,7/30/2014 0:00,2014-07,2014-Q3,2014,105500000,USD
/organization/adam-internet,Adam Internet,|Software|,Software,AUS,,South Grafton,South Grafton,/organization/iinet,iiNet,|Semiconductors|,Semiconductors,NOR,,Aust-Agder,,8/5/2013 0:00,2013-08,2013-Q3,2013,60000000,USD
/organization/adams-golf,Adams Golf,|Sports|,Sports,USA,TX,Dallas,Plano,/organization/adidas,Adidas,|Sports|Shoes|Fashion|,Fashion,DEU,,Herzogenaurach,Herzogenaurach,6/1/2012 0:00,2012-06,2012-Q2,2012,70000000,USD
/organization/adap-tv,Adap.tv,|Auctions|Television|Video|Advertising|,Television,USA,CA,SF Bay Area,San Mateo,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Content Creators,USA,NY,New York City,New York,8/7/2013 0:00,2013-08,2013-Q3,2013,405000000,USD
/organization/adaptix,ADAPTIX,|Public Relations|,Public Relations,USA,TX,Dallas,Carrollton,/organization/acacia-research,Acacia Research,|Finance|,Finance,USA,CA,Anaheim,Newport Beach,1/13/2012 0:00,2012-01,2012-Q1,2012,160000000,USD
/organization/adcenter,AdCenter,|Advertising Platforms|Advertising|,Advertising Platforms,USA,NY,New York City,New York,/organization/vertamedia,VertaMedia,|Advertising|,Advertising,USA,NY,New York City,New York,7/22/2014 0:00,2014-07,2014-Q3,2014,400000,USD
/organization/adcolony,AdColony,|Virtual Currency|Monetization|Apps|Video|Android|iOS|Mobile Video|Mobile|Advertising|,Virtual Currency,USA,CA,Los Angeles,Los Angeles,/organization/opera-software,Opera Software,|Software|,Software,NOR,,Oslo,Oslo,6/24/2014 0:00,2014-06,2014-Q2,2014,350000000,USD
/organization/adconion-media-group,Adconion Media Group,|Entertainment|Ad Targeting|Advertising|,Entertainment,USA,CA,Los Angeles,Santa Monica,/organization/amobee,Amobee,|Advertising|,Advertising,USA,CA,SF Bay Area,Redwood City,6/10/2014 0:00,2014-06,2014-Q2,2014,235000000,USD
/organization/addrenex-pharmaceuticals,Addrenex Pharmaceuticals,|Physicians|Pharmaceuticals|,Physicians,,,,,/organization/sciele-pharma,Sciele Pharma,|Pharmaceuticals|Biotechnology|,Pharmaceuticals,USA,GA,Atlanta,Atlanta,11/16/2009 0:00,2009-11,2009-Q4,2009,29000000,USD
/organization/adea,Adea,|Consulting|,Consulting,USA,TX,Dallas,Irving,/organization/valtech,Valtech,|Information Services|Information Technology|Consulting|Software|,Information Technology,FRA,,Paris,Paris,12/22/2010 0:00,2010-12,2010-Q4,2010,39000000,USD
/organization/adenyo,Adenyo,|Mobile|,Mobile,CAN,ON,Toronto,Toronto,/organization/voltari,Voltari,|Real Time|Machine Learning|Ad Targeting|Analytics|Big Data|Predictive Analytics|Sales and Marketing|Mobile|Advertising|,Advertising,USA,NY,New York City,New York,1/31/2011 0:00,2011-01,2011-Q1,2011,100000000,USD
/organization/adeptra,Adeptra,|Public Relations|,Public Relations,USA,CT,Hartford,Norwalk,/organization/fair-isaac-corporation,FICO (Fair Isaac Corporation),|Software|,Software,USA,MN,Minneapolis,Minneapolis,8/16/2012 0:00,2012-08,2012-Q3,2012,115000000,USD
/organization/adgrok,AdGrok,|Advertising|,Advertising,USA,CA,SF Bay Area,San Francisco,/organization/twitter,Twitter,|Software|SMS|MicroBlogging|Messaging|Social Media|,Software,USA,CA,SF Bay Area,San Francisco,5/31/2011 0:00,2011-05,2011-Q2,2011,10000000,USD
/organization/adify,Adify,|Advertising|,Advertising,USA,CA,SF Bay Area,San Bruno,/organization/cox-enterprises,Cox Enterprises,|Software|Digital Media|Broadcasting|,Digital Media,USA,GA,Atlanta,Atlanta,4/28/2008 0:00,2008-04,2008-Q2,2008,300000000,USD
/organization/ad-network-adisn,Adisn,|Advertising|,Advertising,USA,CA,Los Angeles,Woodland Hills,/organization/crowdgather,CrowdGather,|Forums|Real Time|Social Media|Advertising|Curated Web|,Advertising,USA,CA,Los Angeles,Woodland Hills,6/10/2010 0:00,2010-06,2010-Q2,2010,5500000,USD
/organization/admarvel,AdMarvel,|Mobile Advertising|Mobile|Advertising|,Mobile,USA,CA,SF Bay Area,San Mateo,/organization/opera-software,Opera Software,|Software|,Software,NOR,,Oslo,Oslo,1/20/2010 0:00,2010-01,2010-Q1,2010,8000000,USD
/organization/admeld,Admeld,|Auctions|Software|Advertising|,Auctions,USA,NY,New York City,New York,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Software,USA,CA,SF Bay Area,Mountain View,6/1/2011 0:00,2011-06,2011-Q2,2011,400000000,CAD
/organization/admob,AdMob,|Mobile|Advertising|,Advertising,USA,CA,SF Bay Area,Mountain View,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Software,USA,CA,SF Bay Area,Mountain View,11/9/2009 0:00,2009-11,2009-Q4,2009,750000000,USD
/organization/adnexus,Adnexus,|Biotechnology|,Biotechnology,USA,MA,Boston,Waltham,/organization/bristol-myers-squibb,Bristol-Myers Squibb,|Health and Wellness|Pharmaceuticals|Biotechnology|,Pharmaceuticals,USA,NY,New York City,New York,8/10/2010 0:00,2010-08,2010-Q3,2010,415000000,USD
/organization/adolor,Adolor,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Exton,/organization/cubist-pharmaceuticals,Cubist Pharmaceuticals,|Biotechnology|,Biotechnology,USA,MA,Boston,Lexington,12/12/2011 0:00,2011-12,2011-Q4,2011,453000000,USD
/organization/adonomics,Adonomics,|Big Data Analytics|Analytics|Apps|Facebook Applications|Curated Web|,Curated Web,,,,,/organization/adknowledge,Adknowledge,|Twitter Applications|Facebook Applications|Content Discovery|Mobile Games|Mobile|Video|Apps|Social Media|Sales and Marketing|Advertising|,Mobile Games,USA,MO,Kansas City,Kansas City,11/3/2008 0:00,2008-11,2008-Q4,2008,200000,USD
/organization/adperio,Adperio,|Virtual Currency|Advertising|Email Marketing|Email|Social Media|Internet|,Internet,USA,CO,Denver,Denver,/organization/matomy-media-group,Matomy Media Group,|Digital Media|Social Media Advertising|Online Video Advertising|Virtual Currency|Mobile|Search Marketing|Advertising|,Mobile,ISR,,Tel Aviv,Tel Aviv,8/11/2011 0:00,2011-08,2011-Q3,2011,30000000,USD
/organization/adotomi,Adquant,|Sales and Marketing|Facebook Applications|Advertising|,Facebook Applications,ISR,,Tel Aviv,Tel Aviv,/organization/kenshoo,Kenshoo,|Advertising|,Advertising,ISR,,Tel Aviv,Tel Aviv,9/15/2014 0:00,2014-09,2014-Q3,2014,12000000,USD
/organization/adsage,adSage,|Services|Software|Advertising|,Software,USA,WA,Seattle,Bellevue,/organization/bestv,BesTV,|Entertainment|Technology|Broadcasting|Media|,Technology,CHN,,Shanghai,Shanghai,8/19/2014 0:00,2014-08,2014-Q3,2014,100000000,USD
/organization/aductions,Aductions,|Advertising|,Advertising,USA,CA,SF Bay Area,San Jose,/organization/zyraz-technology,Zyraz Technology,|Biotechnology|,Biotechnology,MYS,,MYS - Other,Damansara New Village,6/18/2008 0:00,2008-06,2008-Q2,2008,3500000,USD
/organization/advanced-analogic-technologies,Advanced Analogic Technologies,|Semiconductors|,Semiconductors,USA,NM,NM - Other,Santa Clara,/organization/skyworks-solutions,Skyworks Solutions,|Semiconductors|,Semiconductors,USA,MA,Boston,Woburn,5/27/2011 0:00,2011-05,2011-Q2,2011,262500000,USD
/organization/advanced-care-scripts,Advanced Care Scripts,|Pharmaceuticals|Healthcare Services|Therapeutics|,Therapeutics,,,,,/organization/omnicare,Omnicare,|Health Care|,Health Care,USA,OH,Cincinnati,Cincinnati,7/16/2008 0:00,2008-07,2008-Q3,2008,212000000,USD
/organization/advanced-computer-software,Advanced Computer Software,|Health Care|Information Technology|Software|,Health Care,GBR,,Cobham,Cobham,/organization/vista-equity-partners,Vista Equity Partners,,,USA,TX,Austin,Austin,11/25/2014 0:00,2014-11,2014-Q4,2014,725000000,GBP
/organization/advanced-in-vitro-cell-technologies,Advanced In Vitro Cell Technologies,|Health Care|,Health Care,ESP,,Barcelona,Barcelona,/organization/indukern,Indukern,|Medical|,Medical,ESP,,Barcelona,Barcelona,7/11/2008 0:00,2008-07,2008-Q3,2008,3340000,USD
/organization/advanced-liquid-logic,Advanced Liquid Logic,|Hardware + Software|,Hardware + Software,USA,NC,Raleigh,Morrisville,/organization/illumina,Illumina,,,USA,CA,San Diego,San Diego,7/24/2013 0:00,2013-07,2013-Q3,2013,96000000,USD
/organization/advanced-mobile-solutions,Advanced Mobile Solutions,|Advertising|App Marketing|Mobile|,App Marketing,USA,PA,Philadelphia,Wayne,/organization/autobytel-com-inc,Autobytel.com,|Software|,Software,USA,CA,Anaheim,Irvine,9/30/2013 0:00,2013-09,2013-Q3,2013,2500000,USD
/organization/advancednetworx,AdvancedNetworX,|Consulting|,Consulting,USA,NC,Raleigh,Morrisville,/organization/inx,INX,|Web Hosting|,Web Hosting,USA,TX,Houston,Houston,7/17/2009 0:00,2009-07,2009-Q3,2009,400000,USD
/organization/advanstar-communications,Advanstar Communications,|Market Research|Events|Business Services|,Events,USA,CA,Los Angeles,Santa Monica,/organization/ubm-electronics,UBM Electronics,|Semiconductors|Electronics|Advertising|,Semiconductors,USA,CA,SF Bay Area,San Francisco,10/1/2014 0:00,2014-10,2014-Q4,2014,972000000,USD
/organization/adxpose,AdXpose,|Analytics|SaaS|Advertising|,SaaS,USA,WA,Seattle,Seattle,/organization/comscore,comScore,|Business Services|Curated Web|,Business Services,USA,VA,"Washington, D.C.",Reston,8/3/2011 0:00,2011-08,2011-Q3,2011,22000000,USD
/organization/aegis-media,Aegis Media,|Public Relations|Advertising|,Public Relations,GBR,,London,London,/organization/dentsu,Dentsu,|Public Relations|Business Services|Advertising|,Public Relations,JPN,,Tokyo,Tokyo,7/12/2012 0:00,2012-07,2012-Q3,2012,5000000,USD
/organization/ael-p,AEL&P,|Clean Technology|,Clean Technology,USA,AK,AK - Other,Juneau,/organization/avista,Avista,|Clean Technology|,Clean Technology,USA,WA,Spokane,Spokane,11/4/2013 0:00,2013-11,2013-Q4,2013,170000000,USD
/organization/aeluros,Aeluros,|Semiconductors|,Semiconductors,USA,CA,SF Bay Area,Mountain View,/organization/broadcom,Broadcom,|Semiconductors|Mobile|,Semiconductors,USA,CA,Anaheim,Irvine,2/17/2012 0:00,2012-02,2012-Q1,2012,3700000000,USD
/organization/aep-networks,AEP Networks,|Web Hosting|,Web Hosting,USA,NJ,Newark,Somerset,/organization/ultra-electronics,Ultra Electronics,|Clean Energy|Transportation|Security|Defense|Hardware + Software|,Clean Energy,GBR,,GBR - Other,,9/30/2011 0:00,2011-09,2011-Q3,2011,57500000,USD
/organization/aepona,Aepona,|Web Hosting|,Web Hosting,GBR,,Belfast,Belfast,/organization/intel,Intel,|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Santa Clara,4/28/2013 0:00,2013-04,2013-Q2,2013,80000000,GBP
/organization/aeroscout,AeroScout,|Wireless|RFID|Mobile|,Wireless,USA,CA,SF Bay Area,Redwood City,/organization/stanley-black-decker,Stanley Black & Decker,,,USA,CT,Hartford,New Britain,6/5/2012 0:00,2012-06,2012-Q2,2012,238800000,USD
/organization/aesica-pharmaceuticals,Aesica Pharmaceuticals,|Biotechnology|,Biotechnology,GBR,,Newcastle,Newcastle Upon Tyne,/organization/consort-medical,Consort Medical,|Biotechnology|,Biotechnology,GBR,,London,Hemel Hempstead,9/30/2014 0:00,2014-09,2014-Q3,2014,374000000,USD
/organization/affair-match,Affair Match,|Curated Web|,Curated Web,,,,,/organization/adultspace,AdultSpace,|Social Media|,Social Media,USA,GA,Atlanta,Lilburn,4/22/2009 0:00,2009-04,2009-Q2,2009,1000000,USD
/organization/affiliated-computer-services,Affiliated Computer Services,|Consulting|,Consulting,USA,TX,Dallas,Dallas,/organization/xerox,Xerox,|Hardware + Software|,Hardware + Software,USA,AL,AL - Other,Normal,9/28/2009 0:00,2009-09,2009-Q3,2009,5750000000,USD
/organization/affinitylabs,Affinity Labs,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/monster,Monster,|Employment|Search|,Employment,USA,NY,New York City,New York,1/4/2008 0:00,2008-01,2008-Q1,2008,61000000,USD
